"","intercept","exposure","log_scale","param","model"
"281",5.1139289874,-0.392178310613626,-0.623334360901431,"coef","full"
"282",0.0602883593663373,0.0285859963421494,0.0412207227589692,"se","full"
"283",5.13505565929147,-0.427293744030607,-0.604340246764557,"coef","weighted"
"284",0.0609830353961677,0.0287063543843836,0.0419075953405761,"se","weighted"
"285",NA,0.731660273788716,NA,"coef","coxfull"
"286",NA,0.0451113280563801,NA,"se","coxfull"
"287",NA,0.781996357534613,NA,"coef","coxweighted"
"288",NA,0.0631829622974132,NA,"se","coxweighted"
"289",5.11033735765664,-0.398502101822911,-0.628156883997976,"coef","full"
"290",0.0600636118618569,0.0284656267364471,0.0411987414860269,"se","full"
"291",5.11884356278422,-0.412228614442897,-0.628224528520647,"coef","weighted"
"292",0.0578218681979347,0.0268114737692181,0.0402781827589448,"se","weighted"
"293",NA,0.746140456524196,NA,"coef","coxfull"
"294",NA,0.0448186010279686,NA,"se","coxfull"
"295",NA,0.772016586506569,NA,"coef","coxweighted"
"296",NA,0.0636523780812185,NA,"se","coxweighted"
"297",5.21356282223037,-0.46003494314794,-0.533404771008868,"coef","full"
"298",0.0640782163145222,0.030984387986237,0.0401961596277004,"se","full"
"299",5.21661207627919,-0.459048760474913,-0.533321782539613,"coef","weighted"
"300",0.0653267520887395,0.0293095317210937,0.0417806226026047,"se","weighted"
"301",NA,0.785020639941335,NA,"coef","coxfull"
"302",NA,0.0437747069706831,NA,"se","coxfull"
"303",NA,0.783554379025313,NA,"coef","coxweighted"
"304",NA,0.0648655317004575,NA,"se","coxweighted"
"305",5.05726828604962,-0.363349061821103,-0.621984592993348,"coef","full"
"306",0.0561463244679114,0.0269342156910405,0.0398089507269774,"se","full"
"307",5.07126671134759,-0.379513544488346,-0.612914341808192,"coef","weighted"
"308",0.0543431010130311,0.0267075800008199,0.0376034853983817,"se","weighted"
"309",NA,0.675959441836452,NA,"coef","coxfull"
"310",NA,0.0433151015652938,NA,"se","coxfull"
"311",NA,0.699636017436203,NA,"coef","coxweighted"
"312",NA,0.0557392745856589,NA,"se","coxweighted"
"313",5.12398551030744,-0.387779349548073,-0.591739581382716,"coef","full"
"314",0.0606027973784691,0.0291171716404878,0.0410269209525295,"se","full"
"315",5.13843132650325,-0.398597270746871,-0.584644611534296,"coef","weighted"
"316",0.0610061287110391,0.0277325877674328,0.0417734751480672,"se","weighted"
"317",NA,0.701277398006677,NA,"coef","coxfull"
"318",NA,0.0448805977368657,NA,"se","coxfull"
"319",NA,0.715555912807423,NA,"coef","coxweighted"
"320",NA,0.0572702452751237,NA,"se","coxweighted"
"321",5.03987874076068,-0.370765285823424,-0.61254590892472,"coef","full"
"322",0.0540027530789591,0.0260919552258289,0.0387357705861788,"se","full"
"323",5.0579695150757,-0.366606889299541,-0.603895984784531,"coef","weighted"
"324",0.0534653017788902,0.0244051700952186,0.0385751497783529,"se","weighted"
"325",NA,0.683853383409078,NA,"coef","coxfull"
"326",NA,0.0412315347957933,NA,"se","coxfull"
"327",NA,0.670509237320012,NA,"coef","coxweighted"
"328",NA,0.0532406539786984,NA,"se","coxweighted"
"329",5.17606806547608,-0.40603875042596,-0.581567513048232,"coef","full"
